,precision,recall,f1-score,support
0,0.5,0.75,0.6,4.0
1,0.0,0.0,0.0,2.0
2,0.6,0.75,0.6666666666666665,4.0
3,0.5,0.3333333333333333,0.4,3.0
4,0.25,1.0,0.4,1.0
5,1.0,0.5,0.6666666666666666,2.0
6,1.0,0.25,0.4,4.0
7,1.0,0.3333333333333333,0.5,3.0
8,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
9,0.6,0.75,0.6666666666666665,4.0
10,0.0,0.0,0.0,3.0
11,1.0,0.75,0.8571428571428571,4.0
12,0.0,0.0,0.0,3.0
13,0.5,0.75,0.6,4.0
14,0.6,1.0,0.7499999999999999,3.0
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
16,1.0,0.6666666666666666,0.8,3.0
17,1.0,0.5,0.6666666666666666,4.0
18,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
19,0.3333333333333333,0.5,0.4,2.0
20,0.5,1.0,0.6666666666666666,3.0
21,0.5,0.6666666666666666,0.5714285714285715,3.0
22,0.0,0.0,0.0,3.0
23,0.3333333333333333,0.5,0.4,2.0
24,0.4,0.6666666666666666,0.5,3.0
25,0.0,0.0,0.0,3.0
accuracy,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.5063291139240507
macro avg,0.49807692307692314,0.49999999999999994,0.4555860805860806,79.0
weighted avg,0.5301687763713081,0.5063291139240507,0.47754671488848704,79.0
