,precision,recall,f1-score,support
0,0.8181818181818182,0.8181818181818182,0.8181818181818182,55.0
1,0.9126984126984127,0.92,0.9163346613545816,125.0
2,0.5384615384615384,0.4666666666666667,0.5,15.0
3,0.625,0.6666666666666666,0.6451612903225806,15.0
4,0.5454545454545454,0.48,0.5106382978723404,50.0
5,0.6774193548387096,0.7636363636363637,0.7179487179487181,55.0
6,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
7,0.8571428571428571,0.8,0.8275862068965518,15.0
8,0.7924528301886793,0.84,0.8155339805825242,50.0
9,0.7734375,0.792,0.782608695652174,125.0
accuracy,0.775,0.775,0.775,0.775
macro avg,0.7318026634744339,0.7013818181818181,0.7117327002144622,520.0
weighted avg,0.772877221127547,0.775,0.772124856719335,520.0
