,precision,recall,f1-score,support
0,0.8387096774193549,0.9454545454545454,0.8888888888888888,55.0
1,0.968,0.968,0.968,125.0
2,0.6428571428571429,0.6,0.6206896551724138,15.0
3,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
4,0.7954545454545454,0.7,0.7446808510638298,50.0
5,0.8360655737704918,0.9272727272727272,0.8793103448275862,55.0
6,1.0,0.6,0.7499999999999999,15.0
7,1.0,1.0,1.0,15.0
8,0.7580645161290323,0.94,0.8392857142857143,50.0
9,0.9210526315789473,0.84,0.8786610878661089,125.0
accuracy,0.8788461538461538,0.8788461538461538,0.8788461538461538,0.8788461538461538
macro avg,0.8688775515780943,0.838739393939394,0.8466068266242474,520.0
weighted avg,0.883637691179649,0.8788461538461538,0.8774818130669272,520.0
