,precision,recall,f1-score,support
0,0.7096774193548387,0.8,0.7521367521367521,55.0
1,0.9032258064516129,0.896,0.8995983935742972,125.0
2,0.45454545454545453,0.3333333333333333,0.3846153846153846,15.0
3,0.5714285714285714,0.5333333333333333,0.5517241379310344,15.0
4,0.5217391304347826,0.48,0.4999999999999999,50.0
5,0.6323529411764706,0.7818181818181819,0.6991869918699187,55.0
6,0.875,0.4666666666666667,0.608695652173913,15.0
7,1.0,0.8,0.888888888888889,15.0
8,0.7758620689655172,0.9,0.8333333333333334,50.0
9,0.8034188034188035,0.752,0.7768595041322314,125.0
accuracy,0.7576923076923077,0.7576923076923077,0.7576923076923077,0.7576923076923077
macro avg,0.724725019577605,0.6743151515151515,0.6895039038655753,520.0
weighted avg,0.7606479161974029,0.7576923076923077,0.7549145591432461,520.0
