,precision,recall,f1-score,support
0,1.0,1.0,1.0,4.0
1,0.6666666666666666,1.0,0.8,2.0
2,1.0,1.0,1.0,4.0
3,1.0,1.0,1.0,3.0
4,1.0,1.0,1.0,2.0
5,1.0,0.5,0.6666666666666666,2.0
6,0.6666666666666666,1.0,0.8,4.0
7,0.6,1.0,0.7499999999999999,3.0
8,1.0,1.0,1.0,3.0
9,1.0,0.5,0.6666666666666666,4.0
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
11,1.0,1.0,1.0,4.0
12,1.0,0.3333333333333333,0.5,3.0
13,1.0,0.75,0.8571428571428571,4.0
14,1.0,1.0,1.0,3.0
15,0.75,1.0,0.8571428571428571,3.0
16,1.0,1.0,1.0,3.0
17,1.0,0.75,0.8571428571428571,4.0
18,1.0,0.6666666666666666,0.8,3.0
19,0.5,1.0,0.6666666666666666,2.0
20,1.0,1.0,1.0,3.0
21,1.0,1.0,1.0,3.0
22,1.0,1.0,1.0,3.0
23,0.6666666666666666,1.0,0.8,2.0
24,1.0,1.0,1.0,3.0
25,1.0,0.6666666666666666,0.8,3.0
accuracy,0.8625,0.8625,0.8625,0.8625
macro avg,0.8916666666666667,0.8653846153846154,0.8521062271062271,80.0
weighted avg,0.9047916666666665,0.8625,0.8588988095238097,80.0
