,precision,recall,f1-score,support
0,0.8387096774193549,0.9454545454545454,0.8888888888888888,55.0
1,0.9758064516129032,0.968,0.9718875502008033,125.0
2,0.6923076923076923,0.6,0.6428571428571429,15.0
3,0.875,0.9333333333333333,0.9032258064516129,15.0
4,0.9069767441860465,0.78,0.8387096774193548,50.0
5,0.8253968253968254,0.9454545454545454,0.8813559322033897,55.0
6,1.0,0.8666666666666667,0.9285714285714286,15.0
7,1.0,1.0,1.0,15.0
8,0.8545454545454545,0.94,0.8952380952380952,50.0
9,0.9396551724137931,0.872,0.9045643153526971,125.0
accuracy,0.9057692307692308,0.9057692307692308,0.9057692307692308,0.9057692307692308
macro avg,0.8908398017882069,0.8850909090909089,0.8855298837183414,520.0
weighted avg,0.9087390114988797,0.9057692307692308,0.9052637551064195,520.0
