,precision,recall,f1-score,support
0,0.7258064516129032,0.8181818181818182,0.7692307692307693,55.0
1,0.9083333333333333,0.872,0.889795918367347,125.0
2,0.5,0.4,0.4444444444444445,15.0
3,0.5294117647058824,0.6,0.5625,15.0
4,0.5476190476190477,0.46,0.5000000000000001,50.0
5,0.6142857142857143,0.7818181818181819,0.6880000000000002,55.0
6,0.875,0.4666666666666667,0.608695652173913,15.0
7,1.0,0.8,0.888888888888889,15.0
8,0.7627118644067796,0.9,0.8256880733944953,50.0
9,0.8205128205128205,0.7741935483870968,0.7966804979253113,124.0
accuracy,0.7610789980732178,0.7610789980732178,0.7610789980732178,0.7610789980732178
macro avg,0.728368099647648,0.6872860215053764,0.6973924244425169,519.0
weighted avg,0.7670000917274759,0.7610789980732178,0.7591770757200054,519.0
