,precision,recall,f1-score,support
0,0.5,0.75,0.6,4.0
1,0.14285714285714285,0.5,0.22222222222222224,2.0
2,1.0,0.75,0.8571428571428571,4.0
3,0.5,0.6666666666666666,0.5714285714285715,3.0
4,1.0,0.5,0.6666666666666666,2.0
5,0.5,0.5,0.5,2.0
6,0.75,0.75,0.75,4.0
7,0.0,0.0,0.0,3.0
8,1.0,1.0,1.0,3.0
9,1.0,0.5,0.6666666666666666,4.0
10,0.5,0.3333333333333333,0.4,3.0
11,1.0,0.75,0.8571428571428571,4.0
12,0.4,0.6666666666666666,0.5,3.0
13,1.0,0.25,0.4,4.0
14,1.0,1.0,1.0,3.0
15,1.0,0.6666666666666666,0.8,3.0
16,1.0,1.0,1.0,3.0
17,0.42857142857142855,0.75,0.5454545454545454,4.0
18,1.0,0.6666666666666666,0.8,3.0
19,1.0,1.0,1.0,2.0
20,1.0,1.0,1.0,3.0
21,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
22,0.75,1.0,0.8571428571428571,3.0
23,0.6666666666666666,1.0,0.8,2.0
24,1.0,0.6666666666666666,0.8,3.0
25,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
accuracy,0.6875,0.6875,0.6875,0.6875
macro avg,0.7489010989010989,0.6923076923076923,0.6895077145077146,80.0
weighted avg,0.7597916666666666,0.6875,0.6908639971139972,80.0
