,precision,recall,f1-score,support
0,0.6,0.75,0.6666666666666665,4.0
1,1.0,1.0,1.0,2.0
2,1.0,0.75,0.8571428571428571,4.0
3,1.0,1.0,1.0,3.0
4,1.0,1.0,1.0,2.0
5,0.3333333333333333,0.5,0.4,2.0
6,1.0,0.75,0.8571428571428571,4.0
7,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
8,1.0,1.0,1.0,3.0
9,0.75,0.75,0.75,4.0
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
11,0.8,1.0,0.888888888888889,4.0
12,0.5,0.3333333333333333,0.4,3.0
13,1.0,1.0,1.0,4.0
14,1.0,1.0,1.0,3.0
15,0.75,1.0,0.8571428571428571,3.0
16,0.75,1.0,0.8571428571428571,3.0
17,0.42857142857142855,0.75,0.5454545454545454,4.0
18,1.0,0.6666666666666666,0.8,3.0
19,0.0,0.0,0.0,2.0
20,1.0,1.0,1.0,3.0
21,1.0,1.0,1.0,3.0
22,1.0,1.0,1.0,3.0
23,1.0,0.5,0.6666666666666666,2.0
24,1.0,1.0,1.0,3.0
25,1.0,0.3333333333333333,0.5,3.0
accuracy,0.775,0.775,0.775,0.775
macro avg,0.7914835164835166,0.7596153846153845,0.7581890331890333,80.0
weighted avg,0.7997619047619048,0.775,0.7704671717171717,80.0
